id;adresse;name;note_commerce
1;Tasty Granite Sausages;Oregon withdrawal;5
2;encoding Music;compress SQL;1
3;ADP Soft Credit Card Account;digital monitor;4
4;Vermont Generic;Personal Loan Account Taka impactful;3
5;zero defect Paradigm;Sleek Cambridgeshire invoice;5
6;Avon;Ethiopian Birr Concrete;2
7;Delaware 24 hour Future;Spur Lao People's Democratic Republic;2
8;Automotive input Indiana;Illinois Administrator Research;0
9;Cordoba Oro application;gold;1
10;Orchestrator;e-commerce systematic;2
